model,medqa_usmle_mc,medmcqa_mc,pubmedqa_mc,overall_mc,four_choice_mc,four_choice_generative,generative_delta,reconstruction
Qwen 3.7 Plus,94.66,83.80,81.60,88.39,89.88,60.62,-29.26,26.40
GPT-5.6 Luna,94.66,83.80,78.00,87.74,89.88,65.51,-24.37,25.47
DeepSeek V4 Pro,94.34,82.40,76.00,86.73,89.09,59.70,-29.39,20.19
DeepSeek V4 Flash,93.95,81.80,77.80,86.66,88.61,58.78,-29.83,21.25
MedGemma 27B,91.99,79.70,77.40,84.93,86.58,48.22,-38.36,17.99
Llama 4 Maverick,89.87,79.50,80.80,84.49,85.31,53.67,-31.63,16.50
Mistral Large 3,88.69,80.70,77.40,83.77,85.17,57.68,-27.50,20.33
Qwen 3.5 9B,91.91,74.10,80.80,83.48,84.07,46.94,-37.13,13.64
MedGemma 4B,85.55,73.00,74.80,79.08,80.03,38.41,-41.62,15.00
GPT-OSS 20B,85.31,68.80,75.00,77.50,78.05,49.76,-28.29,15.44
Ministral 8B,77.22,69.30,77.00,74.32,73.74,41.75,-31.98,10.87
Llama 3.1 8B,67.48,58.40,77.80,66.07,63.48,31.10,-32.38,9.11
