model,MedQA-USMLE,MedMCQA,PubMedQA,pooled_2773,in_tokens,out_tokens,cost_usd
GPT-5.6 Luna,94.66,83.8,78.0,87.74,3694816,557225,7.6608
GPT-OSS 20B,85.31,68.8,75.0,77.5,3845703,1128229,0.4075
DeepSeek V4 Flash,93.95,81.8,77.8,86.66,3539903,1478526,0.6952
Qwen 3.5 9B,91.91,74.1,80.8,83.48,3896004,11117648,2.3735
Llama 3.1 8B,67.48,58.4,77.8,66.07,3807809,644413,0.1443
Llama 4 Maverick,89.87,79.5,80.8,84.49,3663575,1147767,1.9929
Ministral 8B,77.22,69.3,77.0,74.32,3648227,1264725,0.6921
Mistral Large 3,88.69,80.7,77.4,83.77,3648277,741289,2.5207
Qwen 3.7 Plus,94.66,83.8,81.6,88.39,4974355,4173932,6.9344
DeepSeek V4 Pro,94.34,82.4,76.0,86.73,3792265,1902331,7.9012
